5|(object_1 YELLOW SPHERE,)|a yellow ball|a yellow ball|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "yellow"\n    Noun "ball"\n'|
1|(object_5 PURPLE BOX,)|a purple square|a purple square|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "purple"\n    Noun "square"\n'|
1|(object_3 ORANGE BOX,)|an orange rectangle|an orange rectangle|'ReferringExpression\n  Article "an"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "orange"\n    Noun "rectangle"\n'|
5|(object_1 YELLOW SPHERE,)|a yellow sphere|a yellow sphere|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "yellow"\n    Noun "sphere"\n'|
3|(object_2 BLUE CYLINDER,)|the blue cylinder|the blue cylinder|'ReferringExpression\n  Article "the"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "blue"\n    Noun "cylinder"\n'|
4|(object_4 YELLOW BOX,)|a yellow rectangle|a yellow rectangle|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "yellow"\n    Noun "rectangle"\n'|
1|(object_4 PINK BOX,)|a square|a square|'ReferringExpression\n  Article "a"\n  NounPhrase\n    Noun "square"\n'|
3|(object_4 GREEN BOX,)|a green rectangle|a green rectangle|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "green"\n    Noun "rectangle"\n'|
2|(object_4 GREEN BOX,)|a tiny green cube|a green cube|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "green"\n    Noun "cube"\n'|
1|(object_4 PINK BOX,)|a pink box|a pink box|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "pink"\n    Noun "box"\n'|
3|(object_3 ORANGE CYLINDER,)|an orange cylinder|an orange cylinder|'ReferringExpression\n  Article "an"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "orange"\n    Noun "cylinder"\n'|
3|(object_4 GREEN BOX,)|a green box|a green box|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "green"\n    Noun "box"\n'|
1|(object_1 BLUE SPHERE,)|a blue sphere|a blue sphere|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "blue"\n    Noun "sphere"\n'|
5|(object_2 PURPLE SPHERE,)|a small purple ball|a purple ball|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "purple"\n    Noun "ball"\n'|
4|(object_2 ORANGE CYLINDER,)|a short orange cylinder|a orange cylinder|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "orange"\n    Noun "cylinder"\n'|
1|(object_2 ORANGE CYLINDER,)|the only orange cylinder on the table|the orange cylinder on the table|'ExtrinsicReferringExpression\n  Article "the"\n  RelationNounPhrase\n    AdjectiveNounPhrase\n      AdjectivePhrase\n        Adjective "orange"\n      Noun "cylinder"\n    RelationLandmarkPhrase\n      OnRelation "on"\n      ReferringExpression\n        Article "the"\n        NounPhrase\n          Noun "table"\n'|
3|(object_5 ORANGE BOX,)|an orange block|an orange block|'ReferringExpression\n  Article "an"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "orange"\n    Noun "block"\n'|
4|(object_5 YELLOW BOX,)|a yellow rectangle|a yellow rectangle|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "yellow"\n    Noun "rectangle"\n'|
2|(object_5 PURPLE BOX,)|a purple square box|a purple square box|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective "purple"\n      Adjective "square"\n    Noun "box"\n'|
3|(object_3 ORANGE CYLINDER,)|the orange cylinder|the orange cylinder|'ReferringExpression\n  Article "the"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "orange"\n    Noun "cylinder"\n'|
3|(object_4 GREEN BOX,)|a green rectangular cube, with the long side laying on the table|a green rectangular cube, with the long side on the table|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective "green"\n      Adjective "rectangular"\n    Noun "cube"\n'|
3|(object_5 ORANGE BOX,)|an orange block|an orange block|'ReferringExpression\n  Article "an"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "orange"\n    Noun "block"\n'|
3|(object_1 GREEN CYLINDER,)|a green tall cylinder|a green cylinder|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "green"\n    Noun "cylinder"\n'|
1|(object_1 BLUE SPHERE,)|the blue sphere|the blue sphere|'ReferringExpression\n  Article "the"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "blue"\n    Noun "sphere"\n'|
5|(object_2 PURPLE SPHERE,)|a small circle|a circle|'ReferringExpression\n  Article "a"\n  NounPhrase\n    Noun "circle"\n'|
2|(object_4 GREEN BOX,)|a small green box|a green box|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "green"\n    Noun "box"\n'|
3|(object_2 BLUE CYLINDER,)|a small blue cylinder|a blue cylinder|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "blue"\n    Noun "cylinder"\n'|
1|(object_2 ORANGE CYLINDER,)|a flat orange cylinder|a orange cylinder|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "orange"\n    Noun "cylinder"\n'|
3|(object_4 GREEN BOX,)|a green cuboid|a green cuboid|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "green"\n    Noun "cuboid"\n'|
5|(object_4 PURPLE BOX,)|a purple cube|a purple cube|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "purple"\n    Noun "cube"\n'|
5|(object_1 YELLOW SPHERE,)|a yellow sphere|a yellow sphere|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "yellow"\n    Noun "sphere"\n'|
1|(object_5 PURPLE BOX,)|a purple cube|a purple cube|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "purple"\n    Noun "cube"\n'|
1|(object_4 PINK BOX,)|a pink rectangular block|a pink rectangular block|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective "pink"\n      Adjective "rectangular"\n    Noun "block"\n'|
2|(object_4 GREEN BOX,)|the green cube|the green cube|'ReferringExpression\n  Article "the"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "green"\n    Noun "cube"\n'|
3|(object_4 GREEN BOX,)|the box|the box|'ReferringExpression\n  Article "the"\n  NounPhrase\n    Noun "box"\n'|
2|(object_5 PURPLE BOX,)|a cube|a cube|'ReferringExpression\n  Article "a"\n  NounPhrase\n    Noun "cube"\n'|
5|(object_2 PURPLE SPHERE,)|a sphere|a sphere|'ReferringExpression\n  Article "a"\n  NounPhrase\n    Noun "sphere"\n'|
2|(object_2 PURPLE BOX,)|a purple cube|a purple cube|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    AdjectivePhrase\n      Adjective "purple"\n    Noun "cube"\n'|
2|(object_5 PURPLE BOX,)|a purple rectangular prism|a purple rectangular prism|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective "purple"\n      Adjective "rectangular"\n    Noun "prism"\n'|
2|(object_3 PURPLE BOX,)|a tall purple rectangular prism|a purple rectangular prism|'ReferringExpression\n  Article "a"\n  AdjectiveNounPhrase\n    TwoAdjectivePhrase\n      Adjective "purple"\n      Adjective "rectangular"\n    Noun "prism"\n'|
